API,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
GraphQL,187,98
GraphQL,184,98
GraphQL,162,98
GraphQL,159,98
GraphQL,181,98
GraphQL,189,98
GraphQL,161,98
GraphQL,154,98
GraphQL,155,98
GraphQL,155,98
GraphQL,172,98
GraphQL,156,98
GraphQL,184,98
GraphQL,172,98
GraphQL,168,98
GraphQL,160,98
GraphQL,225,98
GraphQL,210,98
GraphQL,163,98
GraphQL,243,98
GraphQL,156,98
GraphQL,160,98
GraphQL,182,98
GraphQL,179,98
GraphQL,157,98
GraphQL,171,98
GraphQL,161,98
GraphQL,168,98
GraphQL,186,98
GraphQL,136,98
GraphQL,209,98
GraphQL,168,98
GraphQL,177,98
GraphQL,163,98
GraphQL,157,98
GraphQL,151,98
GraphQL,154,98
GraphQL,155,98
GraphQL,155,98
GraphQL,163,98
GraphQL,175,98
GraphQL,180,98
GraphQL,170,98
GraphQL,175,98
GraphQL,175,98
GraphQL,165,98
GraphQL,173,98
GraphQL,145,98
GraphQL,165,98
GraphQL,165,98
GraphQL,191,98
GraphQL,160,98
GraphQL,175,98
GraphQL,186,98
GraphQL,174,98
GraphQL,187,98
GraphQL,181,98
GraphQL,169,98
GraphQL,157,98
GraphQL,222,98
GraphQL,169,98
GraphQL,160,98
GraphQL,161,98
GraphQL,169,98
GraphQL,173,98
GraphQL,217,98
GraphQL,158,98
GraphQL,189,98
GraphQL,151,98
GraphQL,153,98
GraphQL,137,98
GraphQL,168,98
GraphQL,157,98
GraphQL,334,98
GraphQL,157,98
GraphQL,256,98
GraphQL,154,98
GraphQL,251,98
GraphQL,147,98
GraphQL,158,98
GraphQL,155,98
GraphQL,150,98
GraphQL,179,98
GraphQL,154,98
GraphQL,153,98
GraphQL,155,98
GraphQL,136,98
GraphQL,167,98
GraphQL,162,98
GraphQL,234,98
GraphQL,194,98
GraphQL,205,98
GraphQL,307,98
GraphQL,162,98
GraphQL,241,98
GraphQL,163,98
GraphQL,160,98
GraphQL,153,98
GraphQL,245,98
GraphQL,203,98
GraphQL,154,98
GraphQL,260,98
GraphQL,153,98
GraphQL,255,98
GraphQL,163,98
GraphQL,242,98
GraphQL,153,98
GraphQL,151,98
GraphQL,142,98
GraphQL,168,98
GraphQL,204,98
GraphQL,201,98
GraphQL,204,98
GraphQL,156,98
GraphQL,149,98
GraphQL,164,98
GraphQL,160,98
GraphQL,169,98
GraphQL,143,98
GraphQL,164,98
GraphQL,168,98
GraphQL,154,98
GraphQL,222,98
GraphQL,167,98
GraphQL,178,98
GraphQL,163,98
GraphQL,190,98
GraphQL,168,98
GraphQL,160,98
GraphQL,158,98
GraphQL,159,98
GraphQL,175,98
GraphQL,152,98
GraphQL,150,98
GraphQL,159,98
GraphQL,155,98
GraphQL,151,98
GraphQL,174,98
GraphQL,277,98
GraphQL,149,98
GraphQL,149,98
GraphQL,153,98
GraphQL,259,98
GraphQL,158,98
GraphQL,153,98
GraphQL,151,98
GraphQL,160,98
GraphQL,153,98
GraphQL,166,98
GraphQL,155,98
GraphQL,156,98
GraphQL,182,98
GraphQL,161,98
GraphQL,160,98
GraphQL,188,98
GraphQL,174,98
GraphQL,158,98
GraphQL,156,98
GraphQL,173,98
GraphQL,170,98
GraphQL,196,98
GraphQL,150,98
GraphQL,149,98
GraphQL,152,98
GraphQL,154,98
GraphQL,208,98
GraphQL,607,98
GraphQL,156,98
GraphQL,155,98
GraphQL,155,98
GraphQL,158,98
GraphQL,155,98
GraphQL,154,98
GraphQL,154,98
GraphQL,159,98
GraphQL,160,98
GraphQL,148,98
GraphQL,156,98
GraphQL,156,98
GraphQL,178,98
GraphQL,149,98
GraphQL,150,98
GraphQL,156,98
GraphQL,163,98
GraphQL,151,98
GraphQL,155,98
GraphQL,148,98
GraphQL,255,98
GraphQL,163,98
GraphQL,160,98
GraphQL,149,98
GraphQL,162,98
GraphQL,169,98
GraphQL,157,98
GraphQL,174,98
GraphQL,164,98
GraphQL,177,98
GraphQL,165,98
GraphQL,163,98
GraphQL,163,98
GraphQL,153,98
GraphQL,153,98
GraphQL,155,98
GraphQL,157,98
GraphQL,155,98
GraphQL,197,98
GraphQL,159,98
GraphQL,180,98
GraphQL,157,98
GraphQL,151,98
GraphQL,162,98
GraphQL,155,98
GraphQL,161,98
GraphQL,154,98
GraphQL,166,98
GraphQL,149,98
GraphQL,157,98
GraphQL,152,98
GraphQL,150,98
GraphQL,153,98
GraphQL,153,98
GraphQL,154,98
GraphQL,164,98
GraphQL,151,98
GraphQL,260,98
GraphQL,171,98
GraphQL,160,98
GraphQL,151,98
GraphQL,154,98
GraphQL,148,98
GraphQL,154,98
GraphQL,159,98
GraphQL,153,98
GraphQL,159,98
GraphQL,153,98
GraphQL,153,98
GraphQL,153,98
GraphQL,155,98
GraphQL,150,98
GraphQL,136,98
GraphQL,181,98
GraphQL,155,98
GraphQL,141,98
GraphQL,166,98
GraphQL,154,98
GraphQL,153,98
